Krowodrza, Lea - 3 pokoje, aneks, 1 piętro;Kraków , Krowodrza;3 pokoje;565 000 zł;50,11 m²;11 275 zł/m²;https://www.otodom.pl/oferta/krowodrza-lea-3-pokoje-aneks-1-pietro-ID44ARs.html#e7b1ebfb0e;2020-02-08 18:57:51.953314
Przestronny apartament 90m² w Garden Residence;Kraków , Podgórze, Zabłocie;3 pokoje;1 200 000 zł;90 m²;13 333 zł/m²;https://www.otodom.pl/oferta/przestronny-apartament-90m-w-garden-residence-ID44fXC.html#e7b1ebfb0e;2020-02-08 18:57:51.954311
Mochnackiego, 3-pokojowe do negocjacji;Kraków , Podgórze;3 pokoje;623 000 zł;63,39 m²;9 828 zł/m²;https://www.otodom.pl/oferta/mochnackiego-3-pokojowe-do-negocjacji-ID445g7.html#e7b1ebfb0e;2020-02-08 18:57:51.955309
Apartament 3 pokojowy, dwupoziomowy Bronowice;Kraków , Bronowice, Bronowice Małe;3 pokoje;470 000 zł;67,79 m²;6 933 zł/m²;https://www.otodom.pl/oferta/apartament-3-pokojowy-dwupoziomowy-bronowice-ID41ZLC.html#e7b1ebfb0e;2020-02-08 18:57:51.956306
Sprzedam 45 m2 Czyżyny 2 Pułku Lotniczego;Kraków , Nowa Huta, Czyżyny;1 pokój;449 000 zł;45 m²;9 978 zł/m²;https://www.otodom.pl/oferta/sprzedam-45-m2-czyzyny-2-pulku-lotniczego-ID44AOW.html#e7b1ebfb0e;2020-02-08 18:57:51.958300
Nowe mieszkanie 2-pokojowe po generalnym remoncie;Kraków , Bieńczyce;2 pokoje;325 000 zł;37 m²;8 784 zł/m²;https://www.otodom.pl/oferta/nowe-mieszkanie-2-pokojowe-po-generalnym-remoncie-ID44mzA.html#e7b1ebfb0e;2020-02-08 18:57:51.959297
Ostatni apartament w zielonej okolicy na 6 piętrze;Kraków , Podgórze;3 pokoje;550 000 zł;70,40 m²;7 813 zł/m²;https://www.otodom.pl/oferta/ostatni-apartament-w-zielonej-okolicy-na-6-pietrze-ID44ANo.html#e7b1ebfb0e;2020-02-08 18:57:51.960294
Mieszkanie 52,34 m2 Kraków;Kraków , Bieżanów-Prokocim, Prokocim;3 pokoje;398 706 zł;51,78 m²;7 700 zł/m²;https://www.otodom.pl/oferta/mieszkanie-52-34-m2-krakow-ID43Wg5.html#e7b1ebfb0e;2020-02-08 18:57:51.961290
Mieszkanie 35,25 m2 Kraków;Kraków , Bieżanów-Prokocim, Prokocim;2 pokoje;296 100 zł;35,25 m²;8 400 zł/m²;https://www.otodom.pl/oferta/mieszkanie-35-25-m2-krakow-ID44gkF.html#e7b1ebfb0e;2020-02-08 18:57:51.963289
Okazja - rewelacyjna lokalizacja;Kraków , Stare Miasto;2 pokoje;495 000 zł;42,40 m²;11 675 zł/m²;https://www.otodom.pl/oferta/okazja-rewelacyjna-lokalizacja-ID44vpq.html#e7b1ebfb0e;2020-02-08 18:57:51.963289
Ruczaj, 50m2, 2pokoje,garaz, FV,Wlasciciel,BezPCC;Kraków , Dębniki, Ruczaj;2 pokoje;549 000 zł;50 m²;10 980 zł/m²;https://www.otodom.pl/oferta/ruczaj-50m2-2pokoje-garaz-fv-wlasciciel-bezpcc-ID44nx8.html#e7b1ebfb0e;2020-02-08 18:57:51.964285
