;opis;dzielnica;pokoje;cena;metraz;cena_za_metr;link;data;pietro;l_pieter;rok_bud;ulica;lokator_ulica_dzielnica;geo_location;point;latitude;longitude;altitude;geometry
55,50 m²;Prądnik Biały 55,5M2 3 Pokoje;Kraków , Prądnik Biały;3 pokoje;600000.0;55.5;10811.0;https://www.otodom.pl/oferta/pradnik-bialy-55-5m2-3-pokoje-ID44O7R.html#eace19cb28;2020-02-23 10:13:00.722819;7.0;8.0;2014.0;Prądnicka;Kraków , Prądnik Biały, Prądnicka;Prądnicka, Prądnik Biały, Kraków, województwo małopolskie, 31-202, Polska;(50.0875229, 19.9385333, 0.0);50.0875229;19.9385333;0.0;POINT (567119.0717439586 247118.4659837764)
35 m²;Żwirki i Wigury, 2 pokoje, 35m2;Kraków , Grzegórzki, Olsza;2 pokoje;387000.0;35.0;11057.0;https://www.otodom.pl/oferta/zwirki-i-wigury-2-pokoje-35m2-ID44O7Q.html#eace19cb28;2020-02-23 10:13:02.049764;0.0;1.0;1920.0;Wigury;Kraków , Grzegórzki, Olsza, Wigury;Żwirki i Wigury, Olsza II, Prądnik Czerwony, Kraków, województwo małopolskie, 31-462, Polska;(50.0794421, 19.9722129, 0.0);50.0794421;19.9722129;0.0;POINT (569539.3139024054 246251.0925405584)
55,20 m²;Mieszkanie do odświeżenia, Ogrodniki, Podgórze;Kraków , Podgórze;1 pokój;399000.0;55.2;7228.0;https://www.otodom.pl/oferta/mieszkanie-do-odswiezenia-ogrodniki-podgorze-ID44O78.html#eace19cb28;2020-02-23 10:13:05.528224;2.0;2.0;1930.0;Ogrodniki;Kraków , Podgórze, Ogrodniki;Ogrodniki, Bonarka, Łagiewniki-Borek Fałęcki, Kraków, województwo małopolskie, 30-404, Polska;(50.0268704, 19.9354851, 0.0);50.0268704;19.9354851;0.0;POINT (566985.480651306 240374.2229871424)
50 m²;2-pokoje, po remoncie, Wysłouchów;Kraków , Podgórze Duchackie, Kurdwanów;2 pokoje;375000.0;50.0;7500.0;https://www.otodom.pl/oferta/2-pokoje-po-remoncie-wyslouchow-ID44O77.html#eace19cb28;2020-02-23 10:13:06.947655;4.0;4.0;2002.0;Wysłouchów;Kraków , Podgórze Duchackie, Kurdwanów, Wysłouchów;Wysłouchów, Marii i Bolesława Wysłouchów, Kurdwanów, Podgórze Duchackie, Kraków, województwo małopolskie, 30-611, Polska;(50.0082278, 19.951703, 0.0);50.0082278;19.951703;0.0;POINT (568173.1214385193 238316.7762070829)
74 m²;3-pokoje po remoncie, ul. Sucha, Łagiewniki;Kraków , Łagiewniki-Borek Fałęcki;3 pokoje;550000.0;74.0;7432.0;https://www.otodom.pl/oferta/3-pokoje-po-remoncie-ul-sucha-lagiewniki-ID44O5G.html#eace19cb28;2020-02-23 10:13:11.736550;4.0;4.0;1998.0;Sucha;Kraków , Łagiewniki-Borek Fałęcki, Sucha;Sucha, Łagiewniki, Łagiewniki-Borek Fałęcki, Kraków, województwo małopolskie, 30-420, Polska;(50.0235619, 19.9352619, 0.0);50.0235619;19.9352619;0.0;POINT (566974.0990997 240006.2861540318)
60 m²;Bezpośrednio sprzedam Kazimierz. 3 pokoje 60m2;Kraków , Stare Miasto, Kazimierz;3 pokoje;699000.0;60.0;11650.0;https://www.otodom.pl/oferta/bezposrednio-sprzedam-kazimierz-3-pokoje-60m2-ID43yTF.html#eace19cb28;2020-02-23 10:13:12.779019;3.0;3.0;1932.0;Kazimierza;Kraków , Stare Miasto, Kazimierz, Kazimierza;Apartamenty Sekret Kazimierza, 34, Józefa, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-056, Polska;(50.0512307, 19.9469375, 0.0);50.0512307;19.9469375;0.0;POINT (567771.2149040747 243092.1779909022)
100,60 m²;5 Pokoi 113m2 + balkon | Stare Miasto | Sebastiana;Kraków , Stare Miasto;5 pokoi;1149000.0;100.6;11421.0;https://www.otodom.pl/oferta/5-pokoi-113m2-balkon-stare-miasto-sebastiana-ID43yk6.html#a613ca9287;2020-02-23 10:13:23.989730;3.0;3.0;2020.0;Sebastiana;Kraków , Stare Miasto, Sebastiana;Świętego Sebastiana, Kazimierz, Stare Miasto, Kraków, województwo małopolskie, 31-050, Polska;(50.0545616, 19.9451494, 0.0);50.0545616;19.9451494;0.0;POINT (567638.5622033864 243460.7861377941)
90,97 m²;*Świetny układDla rodziny lub inwestycja!Roi 6,2%;Kraków , Krowodrza;4 pokoje;679000.0;90.97;7464.0;https://www.otodom.pl/oferta/swietny-ukladdla-rodziny-lub-inwestycja-roi-6-2-ID44EDb.html#a613ca9287;2020-02-23 10:13:41.276867;4.0;4.0;1997.0;Rodziny;Kraków , Krowodrza, Rodziny;Katolickie Szkoły im.Świętej Rodziny z Nazaretu, Pędzichów, Kleparz, Stare Miasto, Kraków, województwo małopolskie, 31-152, Polska;(50.06999585, 19.94018479506805, 0.0);50.06999585;19.94018479506805;0.0;POINT (567261.6953024454 245171.8180097351)
66 m²;Mieszkanie, Grzegórzki 66m2.;Kraków , Grzegórzki;2 pokoje;699000.0;66.0;10591.0;https://www.otodom.pl/oferta/mieszkanie-grzegorzki-66m2-ID44LgR.html#a613ca9287;2020-02-23 10:13:45.009358;2.0;2.0;1920.0;Grzegórzecka;Kraków , Grzegórzki, Grzegórzecka;Grzegórzecka, Wesoła, Grzegórzki, Kraków, województwo małopolskie, 31532, Polska;(50.0587885, 19.9500605, 0.0);50.0587885;19.9500605;0.0;POINT (567984.0407130375 243935.0611747131)
60 m²;Apartament ***** Wiślane Tarasy 2.0 - Grzegórzecka;Kraków , Grzegórzki;3 pokoje;1190000.0;60.0;19833.0;https://www.otodom.pl/oferta/apartament-wislane-tarasy-2-0-grzegorzecka-ID44gQV.html#a613ca9287;2020-02-23 10:13:46.945502;2.0;8.0;2019.0;Wiślana;Kraków , Grzegórzki, Wiślana;Mierzeja Wiślana, Mały Płaszów, Podgórze, Kraków, województwo małopolskie, 30-716, Polska;(50.038134, 20.0042085, 0.0);50.038134;20.0042085;0.0;POINT (571889.5218590654 241689.9986086423)
58 m²;3 pok mieszkanie w Dębnikach 58 mkw za 360 000 zł!;Kraków , Dębniki;3 pokoje;360000.0;58.0;6207.0;https://www.otodom.pl/oferta/3-pok-mieszkanie-w-debnikach-58-mkw-za-360-000-zl-ID44NZd.html#a613ca9287;2020-02-23 10:13:51.781142;2.0;2.0;2006.0;Dębnicka;Kraków , Dębniki, Dębnicka;Dębnicka, Dębniki, Delegatura Kraków-Podgórze, Kraków, województwo małopolskie, 30-324, Polska;(50.0486355, 19.9229271, 0.0);50.0486355;19.9229271;0.0;POINT (566056.4070851903 242782.2246920913)
