40,81 m²;Doskonała inwestycja pod wynajem;Kraków , Dębniki, Ruczaj;2 pokoje;349 000 zł;40,81 m²;8 552 zł/m²;https://www.otodom.pl/oferta/doskonala-inwestycja-pod-wynajem-ID44IRR.html#bcc2421ba9;2020-02-23 10:10:24.424382;3;7;2021
50,68 m²;Okazja 3 pokojowe mieszkanie rynek pierwotny;Kraków , Prądnik Biały;3 pokoje;504 266 zł;50,68 m²;9 950 zł/m²;https://www.otodom.pl/oferta/okazja-3-pokojowe-mieszkanie-rynek-pierwotny-ID44LZX.html#bcc2421ba9;2020-02-23 10:10:25.813959;4;7;2020
61,46 m²;Stare Podgórze - nowy 3 pokojowy apartament;Kraków , Podgórze;3 pokoje;624 685 zł;61,46 m²;10 164 zł/m²;https://www.otodom.pl/oferta/stare-podgorze-nowy-3-pokojowy-apartament-ID42Hmd.html#bcc2421ba9;2020-02-23 10:10:26.680716;2;4;2019
44,42 m²;Wysoki standard, 2 pokoje, Bonarka, do wejścia;Kraków , Podgórze Duchackie, Wola Duchacka;2 pokoje;485 000 zł;44,42 m²;10 919 zł/m²;https://www.otodom.pl/oferta/wysoki-standard-2-pokoje-bonarka-do-wejscia-ID438Ex.html#bcc2421ba9;2020-02-23 10:10:28.203093;1;6;2019
45 m²;Mieszkanie 3-pokojowe, 45m2, zakończona inwestycja;Kraków , Podgórze;3 pokoje;353 000 zł;45 m²;7 844 zł/m²;https://www.otodom.pl/oferta/mieszkanie-3-pokojowe-45m2-zakonczona-inwestycja-ID446u9.html#bcc2421ba9;2020-02-23 10:10:29.248215;2;3;2019
42 m²;2-pokojowe mieszkanie w nowej inwestycji;Kraków , Prądnik Biały;2 pokoje;417 000 zł;42 m²;9 929 zł/m²;https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-w-nowej-inwestycji-ID44agY.html#bcc2421ba9;2020-02-23 10:10:31.758345;0;6;2019
37 m²;Gotowe mieszkanie w nowej inwestycji;Kraków , Prądnik Biały;2 pokoje;398 000 zł;37 m²;10 757 zł/m²;https://www.otodom.pl/oferta/gotowe-mieszkanie-w-nowej-inwestycji-ID44agZ.html#bcc2421ba9;2020-02-23 10:10:33.472218;0;6;2019
42,40 m²;Okazja - rewelacyjna lokalizacja;Kraków , Stare Miasto;2 pokoje;495 000 zł;42,40 m²;11 675 zł/m²;https://www.otodom.pl/oferta/okazja-rewelacyjna-lokalizacja-ID44vpq.html#bcc2421ba9;2020-02-23 10:10:34.492761;;;
120 m²;Jedyna taka nieruchomość z panoramą na Kraków!;Kraków , Nowa Huta, Czyżyny;4 pokoje;975 000 zł;120 m²;8 125 zł/m²;https://www.otodom.pl/oferta/jedyna-taka-nieruchomosc-z-panorama-na-krakow-ID43M7f.html#e7b1ebfb0e;2020-02-23 10:10:37.230274; 10;15;2018
52 m²;Sprzedam mieszkanie 52m2, Dębniki ul. Bałuckiego 5;Kraków , Dębniki;2 pokoje;639 000 zł;52 m²;12 288 zł/m²;https://www.otodom.pl/oferta/sprzedam-mieszkanie-52m2-debniki-ul-baluckiego-5-ID44GqJ.html#e7b1ebfb0e;2020-02-23 10:10:38.019847;1;4;1970
